occupation_Carpenters,occupation_Concrete and terrazzo finishers,occupation_Construction laborers,occupation_Construction trades,occupation_Electrical power installers and repairers,occupation_Electricians,occupation_Helpers,occupation_Laborers,occupation_Occupation not reported,occupation_Other,occupation_Painters,occupation_Plumbers,occupation_Roofers,occupation_Structural metal workers,occupation_Supervisors,occupation_Welders and cutters,industry_Carpentry Work,industry_Concrete Work,industry_Electrical Work,"industry_Heavy Construction, Not Elsewhere Classified",industry_Highway and Street Construction,industry_Other,"industry_Plumbing, Heating, and Air Conditioning","industry_Roofing, Siding, and Sheet Metal Work","industry_Special Trade Contractors, Not Elsewhere Classified",industry_Structural Steel Erection,"industry_Water, Sewer, and Utility Lines",is_fall_incident,fall_distance_ft,narrative_length,month_sin,month_cos,is_fatality
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,777,-0.8660254037844385,-0.5000000000000004,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,780,0.49999999999999994,-0.8660254037844387,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,8.0,473,0.8660254037844387,-0.4999999999999998,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,374,-0.5000000000000004,0.8660254037844384,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,1020,-1.0,-1.8369701987210297e-16,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,6.0,395,-2.4492935982947064e-16,1.0,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,537,-0.8660254037844385,-0.5000000000000004,True
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,396,-0.4999999999999997,-0.8660254037844388,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,12.0,474,1.2246467991473532e-16,-1.0,True
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,704,1.2246467991473532e-16,-1.0,False
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,16.0,1000,0.8660254037844387,-0.4999999999999998,True
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,1902,0.49999999999999994,0.8660254037844387,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,849,-0.8660254037844386,0.5000000000000001,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,50.0,535,1.0,6.123233995736766e-17,True
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,387,0.49999999999999994,-0.8660254037844387,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,471,-0.8660254037844386,0.5000000000000001,False
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,538,0.0,0.0,False
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.0,1935,0.0,0.0,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1152,-0.8660254037844385,-0.5000000000000004,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,1519,-2.4492935982947064e-16,1.0,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,314,0.8660254037844386,0.5000000000000001,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,385,0.0,0.0,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1555,-0.4999999999999997,-0.8660254037844388,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,544,0.49999999999999994,0.8660254037844387,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,388,-0.4999999999999997,-0.8660254037844388,False
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,1781,-1.0,-1.8369701987210297e-16,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,228,-0.5000000000000004,0.8660254037844384,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,18.0,546,-0.8660254037844386,0.5000000000000001,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,839,-2.4492935982947064e-16,1.0,False
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,451,-1.0,-1.8369701987210297e-16,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,783,-0.5000000000000004,0.8660254037844384,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,393,-0.5000000000000004,0.8660254037844384,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,316,-0.8660254037844386,0.5000000000000001,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,545,-1.0,-1.8369701987210297e-16,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,465,-0.8660254037844385,-0.5000000000000004,True
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,468,0.49999999999999994,-0.8660254037844387,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,386,0.0,0.0,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1566,-0.4999999999999997,-0.8660254037844388,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1007,0.49999999999999994,-0.8660254037844387,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1061,0.49999999999999994,0.8660254037844387,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,240,-0.8660254037844385,-0.5000000000000004,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,157,-0.8660254037844385,-0.5000000000000004,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,785,-1.0,-1.8369701987210297e-16,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,32.0,612,-1.0,-1.8369701987210297e-16,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,466,-1.0,-1.8369701987210297e-16,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,1169,-1.0,-1.8369701987210297e-16,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,35.0,780,-0.8660254037844385,-0.5000000000000004,True
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1316,-0.5000000000000004,0.8660254037844384,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,2318,-0.5000000000000004,0.8660254037844384,False
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,24.0,695,-1.0,-1.8369701987210297e-16,True
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,21.0,1003,-0.8660254037844385,-0.5000000000000004,True
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,2993,-0.4999999999999997,-0.8660254037844388,True
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,14.0,458,-0.4999999999999997,-0.8660254037844388,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,470,1.2246467991473532e-16,-1.0,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,699,1.2246467991473532e-16,-1.0,True
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,461,0.49999999999999994,-0.8660254037844387,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,13.0,528,0.49999999999999994,-0.8660254037844387,True
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,3.0,1928,0.49999999999999994,-0.8660254037844387,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,310,0.8660254037844387,-0.4999999999999998,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,11.0,309,1.0,6.123233995736766e-17,True
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,16.0,844,1.0,6.123233995736766e-17,True
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,1003,-2.4492935982947064e-16,1.0,True
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,2689,-0.5000000000000004,0.8660254037844384,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,50.0,624,-0.5000000000000004,0.8660254037844384,True
